id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
364,今,今,j,ien,1,今非昔比，今生今世,,,tɕ,iəŋ
365,今,今,g,en,1,今朝（今天）,滯古音,,k,əŋ
366,集,集,q,ieh,8,集合,,,tɕʰ,iəʔ
367,溫,温,v,en,1,溫度,,,ʋ,əŋ
368,土,土,t,v,3,土地,,,tʰ,ʋ
369,許,许,x,y,3,許可,,,ɕ,y
370,步,步,p,v,6,步伐,,,pʰ,ʋ
371,群,群,q,yen,2,群衆,,,tɕʰ,yəŋ
372,石,石,sh,eh,8,石頭,,,ʂ,əʔ
373,石,石,d,aen,5,,,量詞,t,ɛ̃
374,廣,广,g,uan,3,廣大,,,k,uaŋ
375,且,且,q,ia,3,而且,,,tɕʰ,ia
376,且,且,j,y,1,,,古漢語助詞,tɕ,y
377,記,记,j,i,5,記錄,,,tɕ,i
378,需,需,x,y,1,需要,,,ɕ,y
379,段,段,t,un,6,段落,,,tʰ,ʊ̃
380,研,研,,in,2,研究,,,,ĩ
381,研,研,n,in,2,,又音,,n,ĩ
382,界,界,g,ae,5,界岸,白讀,,k,ɛ
383,界,界,j,iae,5,世界,文讀,,tɕ,iɛ
384,界,界,g,a,5,,gae5的又音,,k,a
385,拉,拉,l,a,1,拉鋸,,,l,a
386,林,林,l,ien,2,森林,,,l,iəŋ
387,律,律,l,ieh,8,法律,,,l,iəʔ
388,叫,叫,j,io,5,叫人,,,tɕ,iɔ
389,究,究,j,ieu,5,研究,,,tɕ,iəɯ
390,衲,衲,n,uh,8,衲子（尿布）,,,n,ʊʔ
391,觀,观,g,un,1,觀察,,,k,ʊ̃
392,觀,观,g,un,5,道觀,,,k,ʊ̃
393,越,越,,iuh,8,越位,,,,iʊ?
394,織,织,zh,eh,7,織布,,,tʂ,əʔ
395,裝,装,zh,uan,1,裝載,,,tʂ,uaŋ
396,影,影,,ien,3,影子,,,,iəŋ
397,算,算,s,un,5,算術,,,s,ʊ̃
398,低,低,d,i,1,低頭,,,t,i
399,持,持,ch,r,2,保持,,,tʂʰ,ʅ
400,音,音,,ien,1,音樂,,,,iəŋ
401,衆,众,zh,on,5,群衆,,,tʂ,ɔŋ
402,眾,众,zh,on,1,,,姓氏，穀物名稱,tʂ,ɔŋ
403,系,系,x,i,6,系統,,,ɕ,i
404,書,书,sh,v,1,書畫,,,ʂ,ʋ
405,容,容,,ion,2,容易,,,,iɔŋ
406,兒,儿,,er,2,兒子,,,,ɚ
407,兒,儿,n,i,2,姓氏,,,n,i
408,際,际,j,i,5,國際,,,tɕ,i
409,商,商,sh,an,1,經商,,,ʂ,aŋ
410,非,非,f,ei,1,非常,,,f,əi
411,驗,验,,in,6,試驗,,,,ĩ
412,連,连,l,in,2,連隊,,,l,ĩ
413,斷,断,t,un,6,斷絕，剪斷,,,tʰ,ʊ̃
414,斷,断,d,un,5,判斷，斷定，斷案,,,t,ʊ̃
415,斷,断,d,un,3,,,中途截住，攔路搶劫，俗作“短”,t,ʊ̃
416,率,率,l,ieh,8,利率,,,l,iəʔ
417,率,率,sh,ueh,7,率領,,,ʂ,uə?
418,率,率,sh,uae,5,,shueh7的又音,,ʂ,uɛ
419,深,深,sh,en,1,深沉,,,ʂ,əŋ
420,難,难,n,aen,2,難題,,,n,ɛ̃
421,難,难,n,aen,6,難友,,,n,ɛ̃
422,近,近,q,ien,6,遠近,,,tɕʰ,iəŋ
423,須,须,x,y,1,必須,,,ɕ,y
424,礦,矿,k,uan,5,礦工,,,kʰ,uaŋ
425,千,千,q,in,1,千萬,,,tɕʰ,ĩ
426,省,省,sh,en,3,省略,,,ʂ,əŋ
427,省,省,x,ien,3,反省,,,ɕ,iəŋ
428,委,委,v,ei,3,委員,,,ʋ,əi
429,委,委,v,ei,1,虛與委蛇,,,ʋ,əi
430,素,素,s,v,5,素質,,,s,ʋ
431,技,技,q,i,6,技術,,,tɕʰ,i
432,備,备,p,ei,6,準備,,,pʰ,əi
433,半,半,b,un,5,半年,,,p,ʊ̃
434,辦,办,p,aen,6,辦公,,,pʰ,ɛ̃
435,辦,办,b,aen,5,,異讀,,p,ɛ̃
436,青,青,q,ien,1,青海,,,tɕʰ,iəŋ
437,列,列,l,ih,8,列隊,,,l,iʔ
438,習,习,q,ieh,8,學習,,,tɕʰ,iəʔ
439,習,习,x,ieh,8,,qieh8的又音,,ɕ,iəʔ
440,便,便,p,in,6,方便,,,pʰ,ĩ
441,便,便,p,in,2,便宜,,,pʰ,ĩ
442,便,便,p,i,2,,pin2的又讀,,pʰ,i
443,便,便,p,ei,2,,pin2的又讀,,pʰ,əi
444,響,响,x,ian,3,聲響,,,ɕ,iaŋ
445,約,约,,iah,7,約會,,,,iaʔ
446,支,支,zh,r,1,支持,,,tʂ,ʅ
447,般,般,b,aen,1,般配,,,p,ɛ̃
448,般,般,p,un,2,般樂,,,pʰ,ʊ̃
449,般,般,b,u,1,般若,,,p,ʊ
450,史,史,sh,r,3,歷史,,,ʂ,ʅ
451,史,史,x,i,3,,姓氏避諱音,,ɕ,i
452,史,史,l,i,6,,姓氏避諱音,,l,i
453,感,感,g,un,3,感覺,,,k,ʊ̃
454,勞,劳,l,o,2,勞動,,,l,ɔ
455,勞,劳,l,o,6,慰勞，犒勞,,,l,ɔ
456,團,团,t,un,2,團結,,,tʰ,ʊ̃
457,往,往,v,an,3,來往,,,ʋ,aŋ
458,酸,酸,s,un,1,酸菜,,,s,ʊ̃
459,稱,称,ch,en,1,稱呼,,,tʂʰ,əŋ
460,稱,称,ch,en,5,稱心,,,tʂʰ,əŋ
461,市,市,sh,r,6,城市,,,ʂ,ʅ
462,克,克,k,eh,7,克服,,,kʰ,əʔ
463,何,何,h,u,2,何必,,,x,ʊ
464,除,除,ch,v,2,除法,,,tʂʰ,ʋ
465,消,消,x,io,1,消滅,,,ɕ,iɔ
466,構,构,g,eu,5,結構,,,k,əɯ
467,府,府,f,v,3,城府,,,f,ʋ
468,甚,甚,sh,en,6,甚至,,,ʂ,əŋ
469,太,太,t,ae,5,太陽,,,tʰ,ɛ
470,精,精,j,ien,1,精神,,,tɕ,iəŋ
471,歷,历,l,ieh,8,歷史,,,l,iəʔ
472,值,值,ch,eh,8,值得,,,tʂʰ,əʔ
473,係,系,x,i,6,關係,,,ɕ,i
474,周,周,zh,eu,1,周轉,,,tʂ,əɯ
475,什,什,sh,eh,8,什錦,,,ʂ,əʔ
476,號,号,h,o,2,號叫,,,x,ɔ
477,號,号,h,o,6,號碼,,,x,ɔ
478,族,族,c,oh,8,民族,,,tsʰ,ɔʔ
479,維,维,v,ei,2,維護,,,ʋ,əi
480,劃,划,h,ua,6,劃分，計劃,,,x,ua
481,劃,划,v,a,6,,白讀,,ʋ,a
482,選,选,x,iun,3,選擇,,,ɕ,iʊ̃
483,標,标,b,io,1,標題,,,p,iɔ
484,寫,写,x,ia,3,寫字,,,ɕ,ia
485,寫,写,x,ia,5,寫意,,,ɕ,ia
486,存,存,c,uen,2,存在,,,tsʰ,uəŋ
487,候,候,h,eu,6,時候,,,x,əɯ
488,親,亲,q,ien,1,親人,,,tɕʰ,iəŋ
489,親,亲,q,ien,5,親家,,,tɕʰ,iəŋ
490,毛,毛,m,o,2,毛皮,,,m,ɔ
491,快,快,k,uae,5,快速,,,kʰ,uɛ
492,查,查,ch,a,2,查詢,,,tʂʰ,a
493,查,查,zh,a,1,姓氏,,,tʂ,a
